Descrição dos alimentos;Energia(kcal);Carboidrato(g);Lipídeos(g);Proteína(g)
Espinafre, Nova Zelândia, refogado;67;4,2;5,4;2,7
Farinha, de mandioca, crua;361;87,9;0,3;1,6
Farinha, de mandioca, torrada;365;89,2;0,3;1,2
Farinha, de puba;360;87,3;0,5;1,6
Fécula, de mandioca;331;81,1;0,3;0,5
Feijão, broto, cru;39;7,8;0,1;4,2
Inhame, cru;97;23,2;0,2;2,1
Jiló, cru;27;6,2;0,2;1,4
Jurubeba, crua;126;23,1;3,9;4,4
Mandioca, cozida;125;30,1;0,3;0,6
Mandioca, crua;151;36,2;0,3;1,1
Mandioca, farofa, temperada;406;80,3;9,1;2,1
Mandioca, frita;300;50,3;11,2;1,4
Manjericão, cru;21;3,6;0,4;2,0
Maxixe, cru;14;2,7;0,1;1,4
Mostarda, folha, crua;18;3,2;0,2;2,1
Nhoque, batata, cozido;181;36,8;1,9;5,9
Nabo, cru;18;4,1;0,1;1,2
Palmito, juçara, em conserva;23;4,3;0,4;1,8
Palmito, pupunha, em conserva;29;5,5;0,5;2,5
Pão, de queijo, assado;363;34,2;24,6;5,1
Pão, de queijo, cru;295;38,5;14,0;3,6
Pepino, cru;10;2,0;Tr;0,9
Pimentão, amarelo, cru;28;6,0;0,4;1,2
Pimentão, verde, cru;21;4,9;0,2;1,1
Pimentão, vermelho, cru;23;5,5;0,1;1,0
Polvilho, doce;351;86,8;Tr;0,4
Quiabo, cru;30;6,4;0,3;1,9
Rabanete, cru;14;2,7;0,1;1,4
Repolho, branco, cru;17;3,9;0,1;0,9
Repolho, roxo, cru;31;7,2;0,1;1,9
Repolho, roxo, refogado;42;7,6;1,2;1,8
Rúcula, crua;13;2,2;0,1;1,8
Salsa, crua;33;5,7;0,6;3,3
Seleta de legumes, enlatada;57;12,7;0,4;3,4
Serralha, crua;30;4,9;0,7;2,7
Taioba, crua;34;5,4;0,9;2,9
Tomate, com semente, cru;15;3,1;0,2;1,1
Tomate, extrato;61;15,0;0,2;2,4
Tomate, molho industrializado;38;7,7;0,9;1,4
Tomate, purê;28;6,9;Tr;1,4
Tomate, salada;21;5,1;Tr;0,8
Vagem, crua;25;5,3;0,2;1,8
Abacate, cru;96;6,0;8,4;1,2
Abacaxi, cru;48;12,3;0,1;0,9
Abacaxi, polpa, congelada;31;7,8;0,1;0,5
Abiu, cru;62;14,9;0,7;0,8
Açaí, polpa, com xarope de guaraná e glucose;110;21,5;3,7;0,7
Açaí, polpa, congelada;58;6,2;3,9;0,8
Acerola, crua;33;8,0;0,2;0,9
Acerola, polpa, congelada;22;5,5;Tr;0,6
Ameixa, calda, enlatada;183;46,9;Tr;0,4
Ameixa, crua;53;13,9;Tr;0,8
Ameixa, em calda, enlatada, drenada;177;47,7;0,3;1,0
Atemóia, crua;97;25,3;0,3;1,0
Banana, da terra, crua;128;33,7;0,2;1,4
Banana, doce em barra;280;75,7;0,1;2,2
Banana, figo, crua;105;27,8;0,1;1,1
Banana, maçã, crua;87;22,3;0,1;1,8
Banana, nanica, crua;92;23,8;0,1;1,4
Banana, ouro, crua;112;29,3;0,2;1,5
Banana, pacova, crua;78;20,3;0,1;1,2
Banana, prata, crua;98;26,0;0,1;1,3
Cacau, cru;74;19,4;0,1;1,0
Cajá-Manga, cru;46;11,4;Tr;1,3
Cajá, polpa, congelada;26;6,4;0,2;0,6
Caju, cru;43;10,3;0,3;1,0
Caju, polpa, congelada;37;9,4;0,2;0,5
Caju, suco concentrado, envasado;45;10,7;0,2;0,4
Caqui, chocolate, cru;71;19,3;0,1;0,4
Carambola, crua;46;11,5;0,2;0,9
Ciriguela, crua;76;18,9;0,4;1,4
Cupuaçu, cru;49;10,4;1,0;1,2
Cupuaçu, polpa, congelada;49;11,4;0,6;0,8
Figo, cru;41;10,2;0,2;1,0
Figo, enlatado, em calda;184;50,3;0,2;0,6
Fruta-pão, crua;67;17,2;0,2;1,1
Goiaba, branca, com casca, crua;52;12,4;0,5;0,9
Goiaba, doce em pasta;269;74,1;0,0;0,6
Goiaba, doce, cascão;286;78,7;0,1;0,4
Goiaba, vermelha, com casca, crua;54;13,0;0,4;1,1
Graviola, crua;62;15,8;0,2;0,8
Graviola, polpa, congelada;38;9,8;0,1;0,6
Jabuticaba, crua;58;15,3;0,1;0,6
Jaca, crua;88;22,5;0,3;1,4
Jambo, cru;27;6,5;0,1;0,9
Jamelão, cru;41;10,6;0,1;0,5
Kiwi, cru;51;11,5;0,6;1,3
Laranja, baía, crua;45;11,5;0,1;1,0
Laranja, baía, suco;37;8,7;Tr;0,7
Laranja, da terra, crua;51;12,9;0,2;1,1
Laranja, da terra, suco;41;9,6;0,1;0,7
Laranja, lima, crua;46;11,5;0,1;1,1
Laranja, lima, suco;39;9,2;0,1;0,7
Laranja, pêra, crua;37;8,9;0,1;1,0
Laranja, pêra, suco;33;7,6;0,1;0,7
Laranja, valência, crua;46;11,7;0,2;0,8
Laranja, valência, suco;36;8,6;0,1;0,5
Limão, cravo, suco;14;5,2;Tr;0,3
Limão, galego, suco;22;7,3;0,1;0,6
Limão, tahiti, cru;32;11,1;0,1;0,9
Maçã, Argentina, com casca, crua;63;16,6;0,2;0,2
Maçã, Fuji, com casca, crua;56;15,2;Tr;0,3
Macaúba, crua;404;13,9;40,7;2,1
Mamão, doce em calda, drenado;196;54,0;0,1;0,2
Mamão, Formosa, cru;45;11,6;0,1;0,8
Mamão, Papaia, cru;40;10,4;0,1;0,5
Mamão verde, doce em calda, drenado;209;57,6;0,1;0,3
Manga, Haden, crua;64;16,7;0,3;0,4
Manga, Palmer, crua;72;19,4;0,2;0,4
Manga, polpa, congelada;48;12,5;0,2;0,4
Manga, Tommy Atkins, crua;51;12,8;0,2;0,9
Maracujá, cru;68;12,3;2,1;2,0
Maracujá, polpa, congelada;39;9,6;0,2;0,8
Maracujá, suco concentrado, envasado;42;9,6;0,2;0,8
Melancia, crua;33;8,1;Tr;0,9
Melão, cru;29;7,5;Tr;0,7
Mexerica, Murcote, crua;58;14,9;0,1;0,9
Mexerica, Rio, crua;37;9,3;0,1;0,7
Morango, cru;30;6,8;0,3;0,9
Nêspera, crua;43;11,5;Tr;0,3
Pequi, cru;205;13,0;18,0;2,3
Pêra, Park, crua;61;16,1;0,2;0,2
Pêra, Williams, crua;53;14,0;0,1;0,6
Pêssego, Aurora, cru;36;9,3;Tr;0,8
Pêssego, enlatado, em calda;63;16,9;Tr;0,7
Pinha, crua;88;22,4;0,3;1,5
Pitanga, crua;41;10,2;0,2;0,9
Pitanga, polpa, congelada;19;4,8;0,1;0,3
Romã, crua;56;15,1;Tr;0,4
Tamarindo, cru;276;72,5;0,5;3,2
Tangerina, Poncã, crua;38;9,6;0,1;0,8
Tangerina, Poncã, suco;36;8,8;Tr;0,5
Tucumã, cru;262;26,5;19,1;2,1
Umbu, cru;37;9,4;Tr;0,8
Umbu, polpa, congelada;34;8,8;0,1;0,5
Uva, Itália, crua;53;13,6;0,2;0,7
Uva, Rubi, crua;49;12,7;0,2;0,6
Uva, suco concentrado, envasado;58;14,7;Tr;Tr
Azeite, de dendê;884;;100,0;
Azeite, de oliva, extra virgem;884;;100,0;
Manteiga, com sal;726;0,1;82,4;0,4
Manteiga, sem sal;758;0,0;86,0;0,4
Margarina, com óleo hidrogenado, com sal (65% de lipídeos);596;0,0;67,4;Tr
Margarina, com óleo hidrogenado, sem sal (80% de lipídeos);723;0,0;81,7;Tr
Margarina, com óleo interesterificado, com sal (65%de lipídeos);594;0,0;67,2;Tr
Margarina, com óleo interesterificado, sem sal (65% de lipídeos);593;0,0;67,1;Tr
Óleo, de babaçu;884;;100,0;
Óleo, de canola;884;;100,0;
Óleo, de girassol;884;;100,0;
Óleo, de milho;884;;100,0;
Óleo, de pequi;884;;100,0;
Óleo, de soja;884;;100,0;
Abadejo, filé, congelado, assado;112;0,0;1,2;23,5
Abadejo, filé, congelado,cozido;91;0,0;0,9;19,3
Abadejo, filé, congelado, cru;59;0,0;0,4;13,1
Abadejo, filé, congelado, grelhado;130;0,0;1,3;27,6
Atum, conserva em óleo;166;0,0;6,0;26,2
Atum, fresco, cru;118;0,0;0,9;25,7
Bacalhau, salgado, cru;136;0,0;1,3;29,0
Bacalhau, salgado, refogado;140;1,2;3,6;24,0
Cação, posta, com farinha de trigo, frita;208;3,1;10,0;25,0
Cação, posta, cozida;116;0,0;0,7;25,6
Cação, posta, crua;83;0,0;0,8;17,9
Camarão, Rio Grande, grande, cozido;90;0,0;1,0;19,0
Camarão, Rio Grande, grande, cru;47;0,0;0,5;10,0
Camarão, Sete Barbas, sem cabeça, com casca, frito;231;2,9;15,6;18,4
Caranguejo, cozido;83;0,0;0,4;18,5
Corimba, cru;128;0,0;6,0;17,4
Corimbatá, assado;261;0,0;19,6;19,9
Corimbatá, cozido;239;0,0;16,9;20,1
Corvina de água doce, crua;101;0,0;2,2;18,9
Corvina do mar, crua;94;0,0;1,6;18,6
Corvina grande, assada;147;0,0;3,6;26,8
Corvina grande, cozida;100;0,0;2,6;23,4
Dourada de água doce, fresca;131;0,0;5,6;18,8
Lambari, congelado, cru;131;0,0;6,5;16,8
Lambari, congelado, frito;327;0,0;22,8;28,4
Lambari, fresco, cru;152;0,0;9,4;15,7
Manjuba, com farinha de trigo, frita;344;10,2;22,6;23,5
Manjuba, frita;349;0,0;24,5;30,1
Merluza, filé, assado;122;0,0;0,9;26,6
Merluza, filé, cru;89;0,0;2,0;16,6
Merluza, filé, frito;192;0,0;8,5;26,9
Pescada, branca, crua;111;0,0;4,6;16,3
Pescada, branca, frita;223;0,0;11,8;27,4
Pescada, filé, com farinha de trigo, frito;283;5,0;19,1;21,4
Pescada, filé, cru;107;0,0;4,0;16,7
Pescada, filé, frito;154;0,0;3,6;28,6
Pescada, filé, molho escabeche;142;5,0;8,0;11,8
Pescadinha, crua;76;0,0;1,1;15,5
Pintado, assado;192;0,0;4,0;36,5
Pintado, cru;91;0,0;1,3;18,6
Pintado, grelhado;152;0,0;2,3;30,8
Porquinho, cru;93;0,0;0,6;20,5
Salmão, filé, com pele, fresco,;60,9;85;23,9;957
Salmão, sem pele, fresco, cru;170;0,0;9,7;19,3
Salmão, sem pele, fresco, grelhado;243;0,0;14,5;26,1
Sardinha, assada;164;0,0;3,0;32,2
Sardinha, conserva em óleo;285;0,0;24,0;15,9
Sardinha, frita;257;0,0;12,7;33,4
Sardinha, inteira, crua;114;0,0;2,7;21,1
Tucunaré, filé, congelado, cru;88;0,0;1,2;18,0
Apresuntado;129;2,9;6,7;13,5
Caldo de carne, tablete;241;15,1;16,6;7,8
Caldo de galinha, tablete;251;10,6;20,4;6,3
Carne, bovina, acém, moído, cozido;212;0,0;10,9;26,7
Carne, bovina, acém, moído, cru;137;0,0;5,9;19,4
Carne, bovina, acém, sem gordura, cozido;215;0,0;10,9;27,3
Carne, bovina, acém, sem gordura, cru;144;0,0;6,1;20,8
Carne, bovina, almôndegas, cruas;189;9,8;11,2;12,3
Carne, bovina, almôndegas, fritas;272;14,3;15,8;18,2
Carne, bovina, bucho, cozido;133;0,0;4,5;21,6
Carne, bovina, bucho, cru;137;0,0;5,5;20,5
Carne, bovina, capa de contra-filé, com gordura, crua;217;0,0;15,0;19,2
Carne, bovina, capa de contra-filé, com gordura, grelhada;312;0,0;20,0;30,7
Carne, bovina, capa de contra-filé, sem gordura, crua;131;0,0;4,3;21,5
Carne, bovina, capa de contra-filé, sem gordura, grelhada;239;0,0;10,0;35,1
Carne, bovina, charque, cozido;263;0,0;11,9;36,4
Carne, bovina, charque, cru;249;0,0;16,8;22,7
Carne, bovina, contra-filé, à milanesa;352;12,2;24,0;20,6
Carne, bovina, contra-filé de costela, cru;202;0,0;13,1;19,8
Carne, bovina, contra-filé de costela, grelhado;275;0,0;16,3;29,9
Carne, bovina, contra-filé, com gordura, cru;206;0,0;12,8;21,2
Carne, bovina, contra-filé, com gordura, grelhado;278;0,0;15,5;32,4
Carne, bovina, contra-filé, sem gordura, cru;157;0,0;6,0;24,0
Carne, bovina, contra-filé, sem gordura, grelhado;194;0,0;4,5;35,9
Carne, bovina, costela, assada;373;0,0;27,7;28,8
Carne, bovina, costela, crua;358;0,0;31,8;16,7
Carne, bovina, coxão duro, sem gordura, cozido;217;0,0;8,9;31,9
Carne, bovina, coxão duro, sem gordura, cru;148;0,0;6,2;21,5
Carne, bovina, coxão mole, sem gordura, cozido;219;0,0;8,9;32,4
Carne, bovina, coxão mole, sem gordura, cru;169;0,0;8,7;21,2
Carne, bovina, cupim, assado;330;0,0;23,0;28,6
Carne, bovina, cupim, cru;221;0,0;15,3;19,5
Carne, bovina, fígado, cru;141;1,1;5,4;20,7
Carne, bovina, fígado, grelhado;225;4,2;9,0;29,9
Carne, bovina, filé mingnon, sem gordura, cru;143;0,0;5,6;21,6
Carne, bovina, filé mingnon, sem gordura, grelhado;220;0,0;8,8;32,8
Carne, bovina, flanco, sem gordura, cozido;196;0,0;7,8;29,4
Carne, bovina, flanco, sem gordura, cru;141;0,0;6,2;20,0
Carne, bovina, fraldinha, com gordura, cozida;338;0,0;26,0;24,2
Carne, bovina, fraldinha, com gordura, crua;221;0,0;16,1;17,6
Carne, bovina, lagarto, cozido;222;0,0;9,1;32,9
Carne, bovina, lagarto, cru;135;0,0;5,2;20,5
Carne, bovina, língua, cozida;315;0,0;24,8;21,4
Carne, bovina, língua, crua;215;0,0;15,8;17,1
Carne, bovina, maminha, crua;153;0,0;7,0;20,9
Carne, bovina, maminha, grelhada;153;0,0;2,4;30,7
Carne, bovina, miolo de alcatra, sem gordura, cru;163;0,0;7,8;21,6
Carne, bovina, miolo de alcatra, sem gordura, grelhado;241;0,0;11,6;31,9
Carne, bovina, músculo, sem gordura, cozido;194;0,0;6,7;31,2
Carne, bovina, músculo, sem gordura, cru;142;0,0;5,5;21,6
Carne, bovina, paleta, com gordura, crua;159;0,0;7,5;21,4
Carne, bovina, paleta, sem gordura, cozida;194;0,0;7,4;29,7
Carne, bovina, paleta, sem gordura, crua;141;0,0;5,7;21,0
Carne, bovina, patinho, sem gordura, cru;133;0,0;4,5;21,7
Carne, bovina, patinho, sem gordura, grelhado;219;0,0;7,3;35,9
Carne, bovina, peito, sem gordura, cozido;338;0,0;27,0;22,2
Carne, bovina, peito, sem gordura, cru;259;0,0;20,4;17,6
Carne, bovina, picanha, com gordura, crua;213;0,0;14,7;18,8
Carne, bovina, picanha, com gordura, grelhada;289;0,0;19,5;26,4
Carne, bovina, picanha, sem gordura, crua;134;0,0;4,7;21,3
Carne, bovina, picanha, sem gordura, grelhada;238;0,0;11,3;31,9
Carne, bovina, seca, cozida;313;0,0;21,9;26,9
Carne, bovina, seca, crua;313;0,0;25,4;19,7
Coxinha de frango, frita;283;34,5;11,8;9,6
Croquete, de carne, cru;246;13,9;15,6;12,0
Croquete, de carne, frito;347;18,1;22,7;16,9
Empada de frango, pré-cozida, assada;358;47,5;15,6;6,9
Empada, de frango, pré-cozida;377;35,5;22,9;7,3
Frango, asa, com pele, crua;213;0,0;15,1;18,1
Frango, caipira, inteiro, com pele, cozido;243;0,0;15,6;23,9
Frango, caipira, inteiro, sem pele, cozido;196;0,0;7,7;29,6
Frango, coração, cru;222;0,0;18,6;12,6
Frango, coração, grelhado;207;0,6;12,1;22,4
Frango, coxa, com pele, assada;215;0,1;10,4;28,5
Frango, coxa, com pele, crua;161;0,0;9,8;17,1
Frango, coxa, sem pele, cozida;167;0,0;5,8;26,9
Frango, coxa, sem pele, crua;120;0,0;4,9;17,8
Frango, fígado, cru;106;0,0;3,5;17,6
Frango, filé, à milanesa;221;7,5;7,8;28,5
Frango, inteiro, com pele, cru;226;0,0;17,3;16,4
Frango, inteiro, sem pele, assado;187;0,0;7,5;28,0
Frango, inteiro, sem pele, cozido;170;0,0;7,1;25,0
Frango, inteiro, sem pele, cru;129;0,0;4,6;20,6
Frango, peito, com pele, assado;212;0,0;7,6;33,4
Frango, peito, com pele, cru;149;0,0;6,7;20,8
Frango, peito, sem pele, cozido;163;0,0;3,2;31,5
Frango, peito, sem pele, cru;119;0,0;3,0;21,5
Frango, peito, sem pele, grelhado;159;0,0;2,5;32,0
Frango, sobrecoxa, com pele, assada;260;0,0;15,2;28,7
Frango, sobrecoxa, com pele, crua;255;0,0;20,9;15,5
Frango, sobrecoxa, sem pele, assada;233;0,0;12,0;29,2
Frango, sobrecoxa, sem pele, crua;162;0,0;9,6;17,6
Hambúrguer, bovino, cru;215;4,2;16,2;13,2
Hambúrguer, bovino, frito;258;6,3;17,0;20,0
Hambúrguer, bovino, grelhado;210;11,3;12,4;13,2
Lingüiça, frango, crua;218;0,0;17,4;14,2
Lingüiça, frango, frita;245;0,0;18,5;18,3
Lingüiça, frango, grelhada;244;0,0;18,4;18,2
Lingüiça, porco, crua;227;0,0;17,6;16,1
Lingüiça, porco, frita;280;0,0;21,3;20,5
Lingüiça, porco, grelhada;296;0,0;21,9;23,2
Mortadela;269;5,8;21,6;12,0
Peru, congelado, assado;163;0,0;5,7;26,2
Peru, congelado, cru;94;0,0;1,8;18,1
Porco, bisteca, crua;164;0,0;8,0;21,5
Porco, bisteca, frita;311;0,0;18,5;33,7
Porco, bisteca, grelhada;280;0,0;17,4;28,9
Porco, costela, assada;402;0,0;30,3;30,2
Porco, costela, crua;256;0,0;19,8;18,0
Porco, lombo, assado;210;0,0;6,4;35,7
Porco, lombo, cru;176;0,0;8,8;22,6
Porco, orelha, salgada, crua;258;0,0;19,9;18,5
Porco, pernil, assado;262;0,0;13,9;32,1
Porco, pernil, cru;186;0,0;11,1;20,1
Porco, rabo, salgado, cru;377;0,0;34,5;15,6
Presunto, com capa de gordura;128;1,4;6,8;14,4
Presunto, sem capa de gordura;94;2,1;2,7;14,3
Quibe, assado;136;12,9;2,7;14,6
Quibe, cru;109;10,8;1,7;12,4
Quibe, frito;254;12,3;15,8;14,9
Salame;398;2,9;30,6;25,8
Toucinho, cru;593;0,0;60,3;11,5
Toucinho, frito;697;0,0;64,3;27,3
Bebida láctea, pêssego;55;7,6;1,9;2,1
Creme de Leite;221;4,5;22,5;1,5
Iogurte, natural;51;1,9;3,0;4,1
Iogurte, natural, desnatado;41;5,8;0,3;3,8
Iogurte, sabor abacaxi;*;*;*;*
Iogurte, sabor morango;70;9,7;2,3;2,7
Iogurte, sabor pêssego;68;9,4;2,3;2,5
Leite, condensado;313;57,0;6,7;7,7
Leite, de cabra;66;5,2;3,8;3,1
Leite, de vaca, achocolatado;83;14,2;2,2;2,1
Leite, de vaca, desnatado, pó;362;53,0;0,9;34,7
Leite, de vaca, desnatado, UHT;*;*;*;*
Leite, de vaca, integral;*;*;*;*
Leite, de vaca, integral, pó;497;39,2;26,9;25,4
Leite, fermentado;70;15,7;0,1;1,9
Queijo, minas, frescal;264;3,2;20,2;17,4
Queijo, minas, meia cura;321;3,6;24,6;21,2
Queijo, mozarela;330;3,0;25,2;22,6
Queijo, parmesão;453;1,7;33,5;35,6
Queijo, pasteurizado;303;5,7;27,4;9,4
Queijo, petit suisse, morango;121;18,5;2,8;5,8
Queijo, prato;360;1,9;29,1;22,7
Queijo, requeijão, cremoso;257;2,4;23,4;9,6
Queijo, ricota;140;3,8;8,1;12,6
Bebida isotônica, sabores variados;26;6,4;0,0;0,0
Café, infusão 10%;9;1,5;0,1;0,7
Cana, aguardente 1;902;Tr;Tr;
Cana, caldo de;65;18,2;Tr;Tr
Cerveja, pilsen 2;41;3,3;Tr;0,6
Chá, erva-doce, infusão 5%;1;0,4;0,0;0,0
Chá, mate, infusão 5%;3;0,6;0,1;0,0
Chá, preto, infusão 5%;2;0,6;0,0;0,0
Coco, água de;22;5,3;0,0;0,0
Refrigerante, tipo água tônica;31;8,0;0,0;0,0
Refrigerante, tipo cola;34;8,7;0,0;0,0
Refrigerante, tipo guaraná;39;10,0;0,0;0,0
Refrigerante, tipo laranja;46;11,8;0,0;0,0
Refrigerante, tipo limão;40;10,3;0,0;0,0
Omelete, de queijo;268;0,4;22,0;15,6
Ovo, de codorna, inteiro, cru;177;0,8;12,7;13,7
Ovo, de galinha, clara, cozida/10minutos;59;0,0;0,1;13,4
Ovo, de galinha, gema, cozida/10minutos;353;1,6;30,8;15,9
Ovo, de galinha, inteiro, cozido/10minutos;146;0,6;9,5;13,3
Ovo, de galinha, inteiro, cru;143;1,6;8,9;13,0
Ovo, de galinha, inteiro, frito;240;1,2;18,6;15,6
Achocolatado, pó;401;91,2;2,2;4,2
Açúcar, cristal;387;99,6;Tr;0,3
Açúcar, mascavo;369;94,5;0,1;0,8
Açúcar, refinado;387;99,5;Tr;0,3
Chocolate, ao leite;540;59,6;30,3;7,2
Chocolate, ao leite, com castanha do Pará;559;55,4;34,2;7,4
Chocolate, ao leite, dietético;557;56,3;33,8;6,9
Chocolate, meio amargo;475;62,4;29,9;4,9
Cocada branca;449;81,4;13,6;1,1
Doce, de abóbora, cremoso;199;54,6;0,2;0,9
Doce, de leite, cremoso;306;59,5;6,0;5,5
Geléia, mocotó, natural;106;24,2;0,1;2,1
Glicose de milho;292;79,4;0,0;0,0
Maria mole;301;73,6;0,2;3,8
Maria mole, coco queimado;307;75,1;0,1;3,9
Marmelada;257;70,8;0,1;0,4
Mel, de abelha;309;84,0;0,0;0,0
Melado;297;76,6;0,0;0,0
Quindim;411;46,3;24,4;4,7
Rapadura;352;90,8;0,1;1,0
Café, pó, torrado;419;65,8;11,9;14,7
